7.0,2.977223809490912,20.0,27.0,86.0,24.0,-66.0,3.0,-15.24,0.7768414285711015
8.0,2.4271333333511085,2.0,63.0,80.0,61.0,-78.0,2.0,-47.54,0.7999314285661803
9.0,2.7649333332871042,10.0,27.0,94.0,20.0,-84.0,7.0,-16.1,0.9879523809545762
10.0,2.9240714285969513,1.0,22.0,97.0,13.0,-96.0,9.0,-12.39,0.6674385714269064
12.0,3.645485714277586,33.0,36.0,51.0,18.0,-18.0,18.0,2.7,0.7117171428479498
15.0,3.3088190475746635,46.0,18.0,91.0,2.0,-45.0,16.0,6.459999999999999,0.6855104761832284
16.0,3.627614285642858,36.0,27.0,88.0,8.0,-52.0,19.0,2.6800000000000006,0.8632580952462652
20.0,2.7879952380758755,6.0,58.0,97.0,41.0,-91.0,17.0,-36.29,0.8405101190478363
21.0,3.000409523869576,31.0,62.0,35.0,35.0,-4.0,27.0,6.969999999999999,0.673189047620574
22.0,3.0600047619528628,46.0,92.0,62.0,66.0,-16.0,26.0,1.3999999999999986,0.9793333333344566
31.0,2.3962142855957858,95.0,34.0,99.0,2.0,-4.0,32.0,30.320000000000004,0.8015833333405954
33.0,3.3859285713510494,22.0,70.0,48.0,36.0,-26.0,34.0,-1.8800000000000023,0.7262171428521563
38.0,3.1138047619844746,21.0,90.0,96.0,51.0,-75.0,39.0,-30.06,0.8616134920572042
39.0,3.337709523770471,3.0,80.0,84.0,45.0,-81.0,35.0,-35.400000000000006,0.7808928571346925
40.0,2.9097380952462997,1.0,81.0,93.0,43.0,-92.0,38.0,-39.18,0.7220471428586104
41.0,2.4372476190848364,94.0,84.0,98.0,35.0,-4.0,49.0,44.66,0.7965719047609938
43.0,3.709076190506773,19.0,99.0,46.0,55.0,-27.0,44.0,-6.490000000000002,0.7363827380866944
44.0,3.1882714285390628,23.0,70.0,57.0,24.0,-34.0,46.0,2.419999999999998,0.7598142857103097
45.0,3.2852571429013544,27.0,66.0,73.0,22.0,-46.0,44.0,1.7600000000000016,0.6619399999983075
46.0,2.983285714404081,35.0,55.0,92.0,11.0,-57.0,44.0,9.13,0.8827875000007308
47.0,3.1084619047937556,9.0,43.0,71.0,1.0,-62.0,42.0,3.16,0.6853980952402998
51.0,2.4241761904595243,80.0,81.0,86.0,24.0,-6.0,57.0,44.16000000000001,0.7873190476079692
52.0,2.58689047617625,49.0,75.0,63.0,22.0,-14.0,53.0,22.89,0.7038538095249706
61.0,2.1645571427926686,94.0,96.0,98.0,32.0,-4.0,64.0,58.88,0.8953412698430957
62.0,2.4875999999979865,78.0,68.0,97.0,5.0,-19.0,63.0,48.190000000000005,0.8120565476131631
63.0,2.886847619081625,20.0,92.0,43.0,28.0,-23.0,64.0,6.360000000000001,0.708006190478141
64.0,2.549571428499606,41.0,80.0,79.0,14.0,-38.0,66.0,21.74,0.8179099999988363
65.0,3.117309523815888,17.0,81.0,64.0,12.0,-47.0,69.0,6.090000000000002,0.7242933333375957
67.0,2.1015000000147683,33.0,66.0,96.0,1.0,-63.0,65.0,20.82,0.940008730161041
69.0,3.17890000000341,2.0,95.0,89.0,26.0,-87.0,69.0,-21.24,0.6780347619015326
71.0,2.0786619046816512,78.0,85.0,87.0,6.0,-9.0,79.0,61.08,0.9957690476240695
75.0,2.093433333245084,49.0,75.0,96.0,4.0,-47.0,71.0,32.91,0.9545041666664292
76.0,3.5940857142197147,8.0,86.0,66.0,14.0,-58.0,72.0,-2.3600000000000003,0.7375833333382028
79.0,3.136704761905507,10.0,87.0,95.0,10.0,-85.0,77.0,-0.8000000000000007,0.7876685714327639
81.0,2.0287571428817293,89.0,99.0,90.0,18.0,-1.0,81.0,71.91,0.778604166670547
82.0,2.1331095239020263,82.0,82.0,94.0,1.0,-12.0,81.0,66.3,0.7556585714288587
83.0,2.078195238048255,72.0,99.0,97.0,17.0,-25.0,82.0,54.79,0.9729373015866555
84.0,2.444995238144926,48.0,92.0,82.0,5.0,-34.0,87.0,40.06,0.7839619047733246
85.0,2.29203333331802,32.0,99.0,81.0,10.0,-49.0,89.0,23.58,0.7563385714235604
88.0,3.02553809519407,9.0,91.0,81.0,6.0,-72.0,85.0,3.33,0.7427933333314757
91.0,2.124280952429488,91.0,93.0,92.0,2.0,-1.0,91.0,82.79,0.6951928571398059
92.0,2.1359619046126133,72.0,97.0,89.0,5.0,-17.0,92.0,65.39,0.86160595237849
94.0,2.1527571428461623,57.0,99.0,90.0,1.0,-33.0,98.0,55.53,0.9724920635016797
95.0,2.239390476302643,37.0,99.0,79.0,5.0,-42.0,94.0,32.68,0.7794823809460782
102.0,2.9598047618788352,16.0,50.0,71.0,2.0,-55.0,48.0,6.58,0.6398652380860722
105.0,2.462400000043613,23.0,97.0,74.0,6.0,-51.0,91.0,17.869999999999997,0.7575709523832226
113.0,2.322095238067475,22.0,98.0,73.0,2.0,-51.0,96.0,20.1,0.8929341269830641
116.0,3.442814285705177,6.0,99.0,81.0,4.0,-75.0,95.0,2.7,0.6701661904760015
118.0,2.3987809523791515,84.0,86.0,85.0,27.0,-1.0,59.0,49.28999999999999,0.8065252380942726
119.0,2.8291809523021803,15.0,70.0,49.0,1.0,-34.0,69.0,10.01,0.8339619047592803
120.0,3.0902285713564956,58.0,94.0,85.0,65.0,-27.0,29.0,-0.730000000000004,0.7493285714289571
123.0,3.2299380953167565,57.0,75.0,88.0,40.0,-31.0,35.0,7.549999999999997,0.7966752380962085
125.0,3.4851714286135866,10.0,86.0,89.0,2.0,-79.0,84.0,6.819999999999999,0.73042095237981
126.0,3.341233333396415,34.0,84.0,88.0,16.0,-54.0,68.0,14.48,0.7022733333341179
129.0,3.1615238095338096,54.0,40.0,90.0,11.0,-36.0,29.0,11.7,0.6697757142944794
131.0,2.118395238147117,95.0,99.0,97.0,32.0,-2.0,67.0,63.01,0.8510769841375111
133.0,2.9405333333607055,59.0,84.0,92.0,49.0,-33.0,35.0,4.479999999999997,0.6934461904733973
134.0,3.3380904761417995,40.0,96.0,79.0,68.0,-39.0,28.0,-15.320000000000007,0.76967797618876
146.0,2.647219047682759,82.0,60.0,31.0,23.0,51.0,37.0,42.06999999999999,0.8745202380776061
148.0,2.4710809523441077,77.0,49.0,75.0,5.0,2.0,44.0,33.98,0.8058166666619199
149.0,2.590733333354816,75.0,11.0,3.0,5.0,72.0,6.0,8.1,0.8167619047658463
150.0,2.5860714285206714,39.0,49.0,4.0,38.0,35.0,11.0,17.59,0.7860142857192688
151.0,2.524566666638656,63.0,81.0,21.0,47.0,42.0,34.0,41.16,0.7824279761878091
154.0,2.9217285714553274,95.0,5.0,31.0,2.0,64.0,3.0,4.13,0.7451476190501934
155.0,2.988333333258384,92.0,62.0,55.0,50.0,37.0,12.0,29.54,0.7014728571462934
157.0,3.2954761904880314,2.0,52.0,1.0,31.0,1.0,21.0,0.73,0.6930842857130847
158.0,2.8788857142821933,88.0,52.0,52.0,39.0,36.0,13.0,25.480000000000004,0.7153414285702275
159.0,2.028561904743115,65.0,53.0,59.0,2.0,6.0,51.0,33.27,0.7051485714284259
160.0,2.5442476190304206,27.0,98.0,22.0,84.0,5.0,14.0,7.98,0.8006161904758019
